Time interval: 40
Azimuth angle: 35
Type: Harpoon
5220.32 7455.40 15.00
5214.13 7446.55 15.00
5207.93 7437.70 15.00
5201.74 7428.86 15.00
5195.55 7420.01 15.00
5189.35 7411.16 15.00
5183.16 7402.31 15.00
5176.96 7393.47 15.00
5170.77 7384.62 15.00
5164.57 7375.77 15.00
5158.38 7366.93 15.00
5152.18 7358.08 15.00
5145.99 7349.23 15.00
5139.79 7340.39 15.00
5133.60 7331.54 15.00
5127.40 7322.69 15.00
5121.21 7313.85 15.00
5115.02 7305.00 15.00
5108.82 7296.15 15.00
5102.63 7287.31 15.00
5096.43 7278.46 15.00
5090.24 7269.61 15.00
5084.04 7260.77 15.00
5077.85 7251.92 15.00
5071.65 7243.07 15.00
5065.46 7234.22 15.00
5059.26 7225.38 15.00
5053.07 7216.53 15.00
5046.87 7207.68 15.00
5040.68 7198.84 15.00
5034.49 7189.99 15.00
5028.29 7181.14 15.00
5022.10 7172.30 15.00
5015.90 7163.45 15.00
5009.71 7154.60 15.00
5003.51 7145.76 15.00
4997.32 7136.91 15.00
4991.12 7128.06 15.00
4984.93 7119.22 15.00
4978.73 7110.37 15.00
4972.54 7101.52 15.00
4966.34 7092.68 15.00
4960.15 7083.83 15.00
4953.96 7074.98 15.00
4947.76 7066.13 15.00
4941.57 7057.29 15.00
4935.37 7048.44 15.00
4929.18 7039.59 15.00
4922.98 7030.75 15.00
4916.79 7021.90 15.00
4910.59 7013.05 15.00
4904.40 7004.21 15.00
4898.20 6995.36 15.00
4892.01 6986.51 15.00
4885.81 6977.67 15.00
4879.62 6968.82 15.00
4873.43 6959.97 15.00
4867.23 6951.13 15.00
4861.04 6942.28 15.00
4854.84 6933.43 15.00
4848.65 6924.59 15.00
4842.45 6915.74 15.00
4836.26 6906.89 15.00
4830.06 6898.04 15.00
4823.87 6889.20 15.00
4817.67 6880.35 15.00
4811.48 6871.50 15.00
4805.28 6862.66 15.00
4799.09 6853.81 15.00
4792.90 6844.96 15.00
4786.70 6836.12 15.00
4780.51 6827.27 15.00
4774.31 6818.42 15.00
4768.12 6809.58 15.00
4761.92 6800.73 15.00
4755.73 6791.88 15.00
4749.53 6783.04 15.00
4743.34 6774.19 15.00
4737.14 6765.34 15.00
4730.95 6756.50 15.00
4724.75 6747.65 15.00
4718.56 6738.80 15.00
4712.36 6729.95 15.00
4706.17 6721.11 15.00
4699.98 6712.26 15.00
4693.78 6703.41 15.00
4687.59 6694.57 15.00
4681.39 6685.72 15.00
4675.20 6676.87 15.00
4669.00 6668.03 15.00
4662.81 6659.18 15.00
4656.61 6650.33 15.00
4650.42 6641.49 15.00
4644.22 6632.64 15.00
4638.03 6623.79 15.00
4631.83 6614.95 15.00
4625.64 6606.10 15.00
4619.45 6597.25 15.00
4613.25 6588.41 15.00
4607.06 6579.56 15.00
4600.86 6570.71 15.00
4594.67 6561.86 15.00
4588.47 6553.02 15.00
4582.28 6544.17 15.00
4576.08 6535.32 15.00
4569.89 6526.48 15.00
4563.69 6517.63 15.00
4557.50 6508.78 15.00
4551.30 6499.94 15.00
4545.11 6491.09 15.00
4538.92 6482.24 15.00
4532.72 6473.40 15.00
4526.53 6464.55 15.00
4520.33 6455.70 15.00
4514.14 6446.86 15.00
4507.94 6438.01 15.00
4501.75 6429.16 15.00
4495.55 6420.32 15.00
4489.36 6411.47 15.00
4483.16 6402.62 15.00
4476.97 6393.77 15.00
4470.77 6384.93 15.00
4464.58 6376.08 15.00
4458.39 6367.23 15.00
4452.19 6358.39 15.00
4446.00 6349.54 15.00
4439.80 6340.69 15.00
4433.61 6331.85 15.00
4427.41 6323.00 15.00
4421.22 6314.15 15.00
4415.02 6305.31 15.00
4408.83 6296.46 15.00
4402.63 6287.61 15.00
4396.44 6278.77 15.00
4390.24 6269.92 15.00
4384.05 6261.07 15.00
4377.86 6252.23 15.00
4371.66 6243.38 15.00
4365.47 6234.53 15.00
4359.27 6225.68 15.00
4353.08 6216.84 15.00
4346.88 6207.99 15.00
4340.69 6199.14 15.00
4334.49 6190.30 15.00
4328.30 6181.45 15.00
4322.10 6172.60 15.00
4315.91 6163.76 15.00
4309.71 6154.91 15.00
4303.52 6146.06 15.00
4297.32 6137.22 15.00
4291.13 6128.37 15.00
4284.94 6119.52 15.00
4278.74 6110.68 15.00
4272.55 6101.83 15.00
4266.35 6092.98 15.00
4260.16 6084.14 15.00
4253.96 6075.29 15.00
4247.77 6066.44 15.00
4241.57 6057.59 15.00
4235.38 6048.75 15.00
4229.18 6039.90 15.00
4222.99 6031.05 15.00
4216.79 6022.21 15.00
4210.60 6013.36 15.00
4204.41 6004.51 15.00
4198.21 5995.67 15.00
4192.02 5986.82 15.00
4185.82 5977.97 15.00
4179.63 5969.13 15.00
4173.43 5960.28 15.00
4167.24 5951.43 15.00
4161.04 5942.59 15.00
4154.85 5933.74 15.00
4148.65 5924.89 15.00
4142.46 5916.05 15.00
4136.26 5907.20 15.00
4130.07 5898.35 15.00
4123.88 5889.50 15.00
4117.68 5880.66 15.00
4111.49 5871.81 15.00
4105.29 5862.96 15.00
4099.10 5854.12 15.00
4092.90 5845.27 15.00
4086.71 5836.42 15.00
4080.51 5827.58 15.00
4074.32 5818.73 15.00
4068.12 5809.88 15.00
4061.93 5801.04 15.00
4055.73 5792.19 15.00
4049.54 5783.34 15.00
4043.35 5774.50 15.00
4037.15 5765.65 15.00
4030.96 5756.80 15.00
4024.76 5747.96 15.00
4018.57 5739.11 15.00
4012.37 5730.26 15.00
4006.18 5721.41 15.00
3999.98 5712.57 15.00
3993.79 5703.72 15.00
3987.59 5694.87 15.00
3981.40 5686.03 15.00
3975.20 5677.18 15.00
3969.01 5668.33 15.00
3962.82 5659.49 15.00
3956.62 5650.64 15.00
3950.43 5641.79 15.00
3944.23 5632.95 15.00
3938.04 5624.10 15.00
3931.84 5615.25 15.00
3925.65 5606.41 15.00
3919.45 5597.56 15.00
3913.26 5588.71 15.00
3907.06 5579.87 15.00
3900.87 5571.02 15.00
3894.67 5562.17 15.00
